STATETIME,NO,NOuGM3,NOX,NOXuGM3,NO2,NO2uGM3,DateTime,UnixTime
"19/03/2012  06:15:00 ",1.81,2.26,16.95,32.37,15.00,28.65,"2012/03/19 06:15",1332137700
"19/03/2012  06:30:00 ",10.28,12.84,30.32,57.90,20.00,38.20,"2012/03/19 06:30",1332138600
"19/03/2012  06:45:00 ",5.50,6.88,25.74,49.16,20.00,38.20,"2012/03/19 06:45",1332139500
"19/03/2012  07:00:00 ",25.68,32.10,56.70,108.30,31.00,59.21,"2012/03/19 07:00",1332140400
"19/03/2012  07:15:00 ",52.60,65.75,94.69,180.86,42.00,80.22,"2012/03/19 07:15",1332141300
"19/03/2012  07:30:00 ",58.91,73.64,101.66,194.17,43.00,82.13,"2012/03/19 07:30",1332142200
"19/03/2012  07:45:00 ",61.88,77.35,104.86,200.27,43.00,82.13,"2012/03/19 07:45",1332143100
"19/03/2012  08:00:00 ",45.36,56.70,82.05,156.72,37.00,70.67,"2012/03/19 08:00",1332144000
"19/03/2012  08:15:00 ",30.69,38.37,63.05,120.43,32.00,61.12,"2012/03/19 08:15",1332144900
"19/03/2012  08:30:00 ",58.06,72.58,98.70,188.52,41.00,78.31,"2012/03/19 08:30",1332145800
"19/03/2012  08:45:00 ",39.88,49.85,75.92,145.01,36.00,68.76,"2012/03/19 08:45",1332146700
"19/03/2012  09:00:00 ",25.45,31.81,53.00,101.23,28.00,53.48,"2012/03/19 09:00",1332147600
"19/03/2012  09:15:00 ",34.71,43.39,68.38,130.60,33.00,63.03,"2012/03/19 09:15",1332148500
"19/03/2012  09:30:00 ",29.08,36.35,57.43,109.69,28.00,53.48,"2012/03/19 09:30",1332149400
"19/03/2012  09:45:00 ",31.91,39.88,65.08,124.30,33.00,63.03,"2012/03/19 09:45",1332150300
"19/03/2012  10:00:00 ",18.67,23.33,40.66,77.66,22.00,42.02,"2012/03/19 10:00",1332151200
"19/03/2012  10:15:00 ",23.66,29.57,49.45,94.44,25.00,47.75,"2012/03/19 10:15",1332152100
"19/03/2012  10:30:00 ",18.63,23.29,41.40,79.07,22.00,42.02,"2012/03/19 10:30",1332153000
"19/03/2012  10:45:00 ",10.83,13.53,30.07,57.42,19.00,36.29,"2012/03/19 10:45",1332153900
"19/03/2012  11:00:00 ",10.91,13.64,28.47,54.37,17.00,32.47,"2012/03/19 11:00",1332154800
"19/03/2012  11:15:00 ",19.80,24.74,45.09,86.11,25.00,47.75,"2012/03/19 11:15",1332155700
"19/03/2012  11:30:00 ",17.37,21.71,40.10,76.60,23.00,43.93,"2012/03/19 11:30",1332156600
"19/03/2012  11:45:00 ",19.82,24.77,42.28,80.76,22.00,42.02,"2012/03/19 11:45",1332157500
"19/03/2012  12:00:00 ",12.54,15.67,29.78,56.89,17.00,32.47,"2012/03/19 12:00",1332158400
"19/03/2012  12:15:00 ",13.33,16.66,33.06,63.14,20.00,38.20,"2012/03/19 12:15",1332159300
"19/03/2012  12:30:00 ",11.43,14.29,27.63,52.78,17.00,32.47,"2012/03/19 12:30",1332160200
"19/03/2012  12:45:00 ",14.75,18.43,33.98,64.90,19.00,36.29,"2012/03/19 12:45",1332161100
"19/03/2012  13:00:00 ",15.01,18.76,34.09,65.11,19.00,36.29,"2012/03/19 13:00",1332162000
"19/03/2012  13:15:00 ",9.53,11.91,26.32,50.27,16.00,30.56,"2012/03/19 13:15",1332162900
"19/03/2012  13:30:00 ",10.96,13.70,29.35,56.05,18.00,34.38,"2012/03/19 13:30",1332163800
"19/03/2012  13:45:00 ",16.65,20.81,39.02,74.53,22.00,42.02,"2012/03/19 13:45",1332164700
"19/03/2012  14:00:00 ",20.72,25.90,46.80,89.39,26.00,49.66,"2012/03/19 14:00",1332165600
"19/03/2012  14:15:00 ",15.16,18.95,36.44,69.61,21.00,40.11,"2012/03/19 14:15",1332166500
"19/03/2012  14:30:00 ",10.26,12.82,28.23,53.92,18.00,34.38,"2012/03/19 14:30",1332167400
"19/03/2012  14:45:00 ",16.72,20.89,37.01,70.68,20.00,38.20,"2012/03/19 14:45",1332168300
"19/03/2012  15:00:00 ",12.54,15.67,28.66,54.74,16.00,30.56,"2012/03/19 15:00",1332169200
"19/03/2012  15:15:00 ",10.13,12.66,27.74,52.97,18.00,34.38,"2012/03/19 15:15",1332170100
"19/03/2012  15:30:00 ",13.27,16.58,34.89,66.65,22.00,42.02,"2012/03/19 15:30",1332171000
"19/03/2012  15:45:00 ",8.31,10.39,25.11,47.97,17.00,32.47,"2012/03/19 15:45",1332171900
