STATETIME,NO,NOuGM3,NOX,NOXuGM3,NO2,NO2uGM3,DateTime,UnixTime
"29/04/2012  05:15:00 ",0.11,0.13,2.11,4.04,2.00,3.82,"2012/04/29 05:15",1335676500
"29/04/2012  05:30:00 ",0.31,0.39,2.63,5.02,3.00,5.73,"2012/04/29 05:30",1335677400
"29/04/2012  05:45:00 ",0.30,0.38,2.97,5.68,3.00,5.73,"2012/04/29 05:45",1335678300
"29/04/2012  06:00:00 ",0.22,0.27,3.32,6.33,3.00,5.73,"2012/04/29 06:00",1335679200
"29/04/2012  06:15:00 ",0.59,0.74,3.75,7.17,3.00,5.73,"2012/04/29 06:15",1335680100
"29/04/2012  06:30:00 ",0.19,0.24,2.87,5.48,3.00,5.73,"2012/04/29 06:30",1335681000
"29/04/2012  06:45:00 ",0.23,0.29,2.95,5.63,3.00,5.73,"2012/04/29 06:45",1335681900
"29/04/2012  07:00:00 ",2.00,2.50,5.94,11.34,4.00,7.64,"2012/04/29 07:00",1335682800
"29/04/2012  07:15:00 ",0.24,0.30,3.57,6.82,4.00,7.64,"2012/04/29 07:15",1335683700
"29/04/2012  07:30:00 ",0.77,0.97,4.76,9.08,4.00,7.64,"2012/04/29 07:30",1335684600
"29/04/2012  07:45:00 ",1.75,2.19,6.57,12.56,5.00,9.55,"2012/04/29 07:45",1335685500
"29/04/2012  08:00:00 ",2.23,2.79,6.89,13.16,5.00,9.55,"2012/04/29 08:00",1335686400
"29/04/2012  08:15:00 ",1.17,1.47,4.90,9.36,4.00,7.64,"2012/04/29 08:15",1335687300
"29/04/2012  08:30:00 ",2.81,3.52,8.90,17.01,6.00,11.46,"2012/04/29 08:30",1335688200
"29/04/2012  08:45:00 ",4.87,6.09,12.23,23.36,7.00,13.37,"2012/04/29 08:45",1335689100
"29/04/2012  09:00:00 ",4.33,5.41,10.69,20.43,7.00,13.37,"2012/04/29 09:00",1335690000
"29/04/2012  09:15:00 ",3.33,4.16,10.46,19.98,7.00,13.37,"2012/04/29 09:15",1335690900
"29/04/2012  09:30:00 ",3.17,3.96,9.75,18.63,7.00,13.37,"2012/04/29 09:30",1335691800
"29/04/2012  09:45:00 ",7.48,9.35,17.55,33.53,11.00,21.01,"2012/04/29 09:45",1335692700
"29/04/2012  10:00:00 ",3.15,3.94,9.09,17.36,6.00,11.46,"2012/04/29 10:00",1335693600
"29/04/2012  10:15:00 ",4.28,5.35,10.51,20.07,7.00,13.37,"2012/04/29 10:15",1335694500
"29/04/2012  10:30:00 ",1.96,2.45,7.31,13.96,5.00,9.55,"2012/04/29 10:30",1335695400
"29/04/2012  10:45:00 ",3.61,4.51,9.57,18.29,6.00,11.46,"2012/04/29 10:45",1335696300
"29/04/2012  11:00:00 ",3.94,4.92,10.71,20.45,7.00,13.37,"2012/04/29 11:00",1335697200
"29/04/2012  11:15:00 ",3.32,4.15,8.89,16.99,6.00,11.46,"2012/04/29 11:15",1335698100
"29/04/2012  11:30:00 ",3.84,4.80,11.13,21.25,7.00,13.37,"2012/04/29 11:30",1335699000
"29/04/2012  11:45:00 ",7.46,9.33,17.70,33.81,11.00,21.01,"2012/04/29 11:45",1335699900
"29/04/2012  12:00:00 ",5.49,6.87,12.48,23.83,7.00,13.37,"2012/04/29 12:00",1335700800
"29/04/2012  12:15:00 ",7.86,9.82,18.25,34.85,10.00,19.10,"2012/04/29 12:15",1335701700
"29/04/2012  12:30:00 ",3.85,4.81,10.92,20.86,7.00,13.37,"2012/04/29 12:30",1335702600
"29/04/2012  12:45:00 ",4.09,5.12,12.32,23.52,8.00,15.28,"2012/04/29 12:45",1335703500
"29/04/2012  13:00:00 ",8.25,10.31,18.66,35.65,11.00,21.01,"2012/04/29 13:00",1335704400
"29/04/2012  13:15:00 ",3.68,4.60,11.29,21.57,7.00,13.37,"2012/04/29 13:15",1335705300
"29/04/2012  13:30:00 ",1.83,2.28,6.70,12.79,5.00,9.55,"2012/04/29 13:30",1335706200
"29/04/2012  13:45:00 ",2.72,3.40,7.99,15.26,5.00,9.55,"2012/04/29 13:45",1335707100
"29/04/2012  14:00:00 ",1.87,2.33,7.22,13.79,5.00,9.55,"2012/04/29 14:00",1335708000
"29/04/2012  14:15:00 ",2.10,2.62,7.31,13.97,5.00,9.55,"2012/04/29 14:15",1335708900
"29/04/2012  14:30:00 ",3.76,4.70,10.96,20.93,7.00,13.37,"2012/04/29 14:30",1335709800
"29/04/2012  14:45:00 ",2.26,2.83,6.59,12.58,5.00,9.55,"2012/04/29 14:45",1335710700
"29/04/2012  15:00:00 ",3.30,4.13,9.86,18.83,7.00,13.37,"2012/04/29 15:00",1335711600
"29/04/2012  15:15:00 ",1.45,1.81,6.76,12.91,6.00,11.46,"2012/04/29 15:15",1335712500
"29/04/2012  15:30:00 ",2.92,3.65,10.17,19.42,7.00,13.37,"2012/04/29 15:30",1335713400
"29/04/2012  15:45:00 ",5.49,6.87,14.64,27.97,10.00,19.10,"2012/04/29 15:45",1335714300
"29/04/2012  16:00:00 ",2.50,3.12,9.52,18.18,8.00,15.28,"2012/04/29 16:00",1335715200
"29/04/2012  16:15:00 ",5.67,7.08,16.11,30.77,10.00,19.10,"2012/04/29 16:15",1335716100
"29/04/2012  16:30:00 ",1.86,2.32,7.26,13.87,5.00,9.55,"2012/04/29 16:30",1335717000
"29/04/2012  16:45:00 ",3.50,4.37,11.09,21.18,8.00,15.28,"2012/04/29 16:45",1335717900
"29/04/2012  17:00:00 ",3.22,4.02,10.96,20.93,8.00,15.28,"2012/04/29 17:00",1335718800
"29/04/2012  17:15:00 ",6.06,7.58,16.10,30.75,10.00,19.10,"2012/04/29 17:15",1335719700
"29/04/2012  17:30:00 ",3.65,4.56,12.69,24.23,9.00,17.19,"2012/04/29 17:30",1335720600
"29/04/2012  17:45:00 ",3.66,4.57,11.52,22.00,8.00,15.28,"2012/04/29 17:45",1335721500
"29/04/2012  18:00:00 ",2.05,2.56,8.79,16.79,7.00,13.37,"2012/04/29 18:00",1335722400
"29/04/2012  18:15:00 ",0.86,1.07,5.96,11.39,5.00,9.55,"2012/04/29 18:15",1335723300
"29/04/2012  18:30:00 ",0.72,0.90,6.54,12.49,6.00,11.46,"2012/04/29 18:30",1335724200
"29/04/2012  18:45:00 ",1.05,1.31,8.10,15.48,7.00,13.37,"2012/04/29 18:45",1335725100
"29/04/2012  19:00:00 ",0.39,0.49,4.44,8.49,4.00,7.64,"2012/04/29 19:00",1335726000
"29/04/2012  19:15:00 ",5.36,6.70,15.72,30.02,11.00,21.01,"2012/04/29 19:15",1335726900
"29/04/2012  19:30:00 ",4.14,5.18,14.85,28.36,11.00,21.01,"2012/04/29 19:30",1335727800
"29/04/2012  19:45:00 ",0.62,0.78,5.35,10.23,4.00,7.64,"2012/04/29 19:45",1335728700
"29/04/2012  20:00:00 ",0.82,1.02,6.13,11.72,5.00,9.55,"2012/04/29 20:00",1335729600
"29/04/2012  20:15:00 ",1.68,2.10,7.34,14.02,5.00,9.55,"2012/04/29 20:15",1335730500
"29/04/2012  20:30:00 ",1.40,1.74,5.15,9.83,4.00,7.64,"2012/04/29 20:30",1335731400
"29/04/2012  20:45:00 ",0.04,0.06,4.09,7.82,4.00,7.64,"2012/04/29 20:45",1335732300
"29/04/2012  21:00:00 ",0.44,0.55,4.57,8.73,5.00,9.55,"2012/04/29 21:00",1335733200
"29/04/2012  21:15:00 ",2.50,3.13,8.29,15.83,5.00,9.55,"2012/04/29 21:15",1335734100
"29/04/2012  21:30:00 ",0.71,0.88,4.86,9.29,4.00,7.64,"2012/04/29 21:30",1335735000
"29/04/2012  21:45:00 ",1.32,1.66,6.00,11.45,5.00,9.55,"2012/04/29 21:45",1335735900
"29/04/2012  22:00:00 ",0.62,0.78,5.33,10.19,4.00,7.64,"2012/04/29 22:00",1335736800
"29/04/2012  22:15:00 ",0.17,0.22,4.33,8.26,4.00,7.64,"2012/04/29 22:15",1335737700
"29/04/2012  22:30:00 ",-0.09,-0.11,4.15,7.92,4.00,7.64,"2012/04/29 22:30",1335738600
"29/04/2012  22:45:00 ",-0.12,-0.15,3.04,5.81,3.00,5.73,"2012/04/29 22:45",1335739500
"29/04/2012  23:00:00 ",-0.55,-0.69,3.17,6.06,4.00,7.64,"2012/04/29 23:00",1335740400
"29/04/2012  23:15:00 ",-0.11,-0.14,3.07,5.85,3.00,5.73,"2012/04/29 23:15",1335741300
"29/04/2012  23:30:00 ",2.46,3.07,7.24,13.82,5.00,9.55,"2012/04/29 23:30",1335742200
"29/04/2012  23:45:00 ",0.95,1.19,5.55,10.61,5.00,9.55,"2012/04/29 23:45",1335743100
"30/04/2012  00:00:00 ",-0.03,-0.04,3.97,7.58,4.00,7.64,"2012/04/30 00:00",1335744000
"30/04/2012  00:15:00 ",0.16,0.20,2.32,4.43,2.00,3.82,"2012/04/30 00:15",1335744900
"30/04/2012  00:30:00 ",0.39,0.49,2.05,3.92,2.00,3.82,"2012/04/30 00:30",1335745800
"30/04/2012  00:45:00 ",0.23,0.29,4.88,9.33,5.00,9.55,"2012/04/30 00:45",1335746700
"30/04/2012  01:00:00 ",1.96,2.45,157.30,300.44,0.00,0.00,"2012/04/30 01:00",1335747600
"30/04/2012  01:15:00 ",-0.91,-1.14,3.30,6.29,4.00,7.64,"2012/04/30 01:15",1335748500
"30/04/2012  01:30:00 ",0.23,0.29,4.15,7.92,4.00,7.64,"2012/04/30 01:30",1335749400
"30/04/2012  01:45:00 ",-0.72,-0.90,3.13,5.98,4.00,7.64,"2012/04/30 01:45",1335750300
"30/04/2012  02:00:00 ",-0.17,-0.21,4.18,7.99,4.00,7.64,"2012/04/30 02:00",1335751200
"30/04/2012  02:15:00 ",0.17,0.21,4.68,8.94,5.00,9.55,"2012/04/30 02:15",1335752100
"30/04/2012  02:30:00 ",0.41,0.51,7.45,14.23,7.00,13.37,"2012/04/30 02:30",1335753000
"30/04/2012  02:45:00 ",1.23,1.54,9.54,18.23,9.00,17.19,"2012/04/30 02:45",1335753900
"30/04/2012  03:00:00 ",-0.06,-0.08,7.96,15.20,8.00,15.28,"2012/04/30 03:00",1335754800
"30/04/2012  03:15:00 ",0.91,1.14,8.62,16.46,8.00,15.28,"2012/04/30 03:15",1335755700
"30/04/2012  03:30:00 ",4.07,5.08,18.27,34.90,14.00,26.74,"2012/04/30 03:30",1335756600
"30/04/2012  03:45:00 ",4.19,5.24,23.80,45.46,20.00,38.20,"2012/04/30 03:45",1335757500
"30/04/2012  04:00:00 ",1.66,2.08,15.70,30.00,14.00,26.74,"2012/04/30 04:00",1335758400
"30/04/2012  04:15:00 ",0.47,0.58,7.53,14.39,8.00,15.28,"2012/04/30 04:15",1335759300
"30/04/2012  04:30:00 ",14.58,18.23,39.10,74.69,24.00,45.84,"2012/04/30 04:30",1335760200
"30/04/2012  04:45:00 ",1.15,1.44,11.39,21.75,10.00,19.10,"2012/04/30 04:45",1335761100
"30/04/2012  05:00:00 ",4.91,6.14,15.92,30.41,11.00,21.01,"2012/04/30 05:00",1335762000
"30/04/2012  05:15:00 ",40.46,50.58,68.55,130.94,29.00,55.39,"2012/04/30 05:15",1335762900
"30/04/2012  05:30:00 ",27.61,34.51,59.60,113.84,32.00,61.12,"2012/04/30 05:30",1335763800
"30/04/2012  05:45:00 ",49.41,61.77,92.08,175.87,43.00,82.13,"2012/04/30 05:45",1335764700
"30/04/2012  06:00:00 ",34.46,43.08,70.85,135.32,37.00,70.67,"2012/04/30 06:00",1335765600
"30/04/2012  06:15:00 ",7.60,9.51,27.42,52.38,19.00,36.29,"2012/04/30 06:15",1335766500
"30/04/2012  06:30:00 ",21.79,27.24,43.63,83.34,22.00,42.02,"2012/04/30 06:30",1335767400
"30/04/2012  06:45:00 ",21.52,26.90,45.22,86.37,23.00,43.93,"2012/04/30 06:45",1335768300
"30/04/2012  07:00:00 ",21.49,26.87,45.08,86.09,24.00,45.84,"2012/04/30 07:00",1335769200
"30/04/2012  07:15:00 ",35.63,44.53,62.72,119.79,27.00,51.57,"2012/04/30 07:15",1335770100
"30/04/2012  07:30:00 ",39.62,49.53,72.92,139.28,33.00,63.03,"2012/04/30 07:30",1335771000
"30/04/2012  07:45:00 ",18.54,23.18,40.19,76.76,21.00,40.11,"2012/04/30 07:45",1335771900
"30/04/2012  08:00:00 ",20.33,25.41,43.62,83.31,24.00,45.84,"2012/04/30 08:00",1335772800
"30/04/2012  08:15:00 ",11.67,14.58,27.43,52.39,15.00,28.65,"2012/04/30 08:15",1335773700
"30/04/2012  08:30:00 ",20.96,26.20,42.26,80.71,21.00,40.11,"2012/04/30 08:30",1335774600
"30/04/2012  08:45:00 ",35.84,44.80,66.76,127.50,31.00,59.21,"2012/04/30 08:45",1335775500
"30/04/2012  09:00:00 ",14.15,17.69,32.96,62.96,19.00,36.29,"2012/04/30 09:00",1335776400
"30/04/2012  09:15:00 ",15.20,19.00,34.41,65.73,19.00,36.29,"2012/04/30 09:15",1335777300
"30/04/2012  09:30:00 ",12.99,16.23,27.97,53.42,15.00,28.65,"2012/04/30 09:30",1335778200
"30/04/2012  09:45:00 ",25.78,32.23,48.91,93.41,23.00,43.93,"2012/04/30 09:45",1335779100
