UKPMSSection,SectionDescription,Region,Site,RoadType,RoadName,Length,Ward,StartNode,EndNode,StartNodeEasting,StartNodeNorthing,EndNodeEasting,EndNodeNorthing,StartNodeLat,StartNodeLong,EndNodeLat,EndNodeLong
017/01684/005,"A6085 High Street - from Station Road to Walbottle Rd R/bt",013,01684,Principal,"HIGH STREET",625,Newburn,A6085-0205,A6085-0305,416564,565378,417120,565160,54.98265232488,-1.741146511544,54.980674327665,-1.7324707669638
014/03505/005,"A6085 Lemington Road - from Walbottle Rd R/bt to Hulme Terrace",012,03505,Principal,"LEMINGTON ROAD",1157,Lemington,A6085-0310,A6085-0405,417132,565152,418177,564702,54.980602017924,-1.7322837271293,54.976520770584,-1.7159826105192
014/02421/005,"A6085 Northumberland Road - from Hulme Terrace to Northumberland Rd R/bt",012,02421,Principal,"NORTHUMBERLAND ROAD",118,Lemington,A6085-0405,A6085-0410,418177,564702,418279,564643,54.976520770584,-1.7159826105192,54.975986797489,-1.7143926358214
002/02994/005,"A191 Springfield Road - from A167 Stamfordham Road R/bt to A167 Ponteland Road R/bt",002,02994,Principal,"SPRINGFIELD ROAD",728,Blakelaw,A191-0205,A191-0210,421274,566207,421766,566732,54.989923733083,-1.6674807565417,54.994620684779,-1.6597508791037
023/02849/005,"A186 St Nicholas Street - from Collingwood Street to Westgate Road",024,02849,Principal,"ST NICHOLAS STREET",144,"Westgate (City Centre)",A186-0305,A186-0125,424923,564021,424995,563897,54.970108808402,-1.6106372642213,54.968990807566,-1.6095232746511
023/00795/005,"A186 Collingwood Street - from Pudding Chare to Groat Market",024,00795,Principal,"COLLINGWOOD STREET",136,"Westgate (City Centre)",A186-0205,A186-0305,424797,563963,424923,564021,54.969593844424,-1.6126106815536,54.970108808402,-1.6106372642213
023/02848/005,"A186 Saint Nicholas Square - from Groat Market to Cloth Market",024,02848,Principal,"ST NICHOLAS SQUARE",46,"Westgate (City Centre)",A186-0305,A186-0605,424923,564021,424959,564047,54.970108808402,-1.6106372642213,54.970340670153,-1.6100726005935
023/02298/005,"A186 Mosley Street - from Cloth Market to Swan House R/bt",024,02298,Principal,"MOSLEY STREET",175,"Westgate (City Centre)",A186-0605,A186-0705,424959,564047,425107,564142,54.970340670153,-1.6100726005935,54.971187005779,-1.6077521786431
023/00747/005,"A186 Clayton Street West - from Westmorland Road to Westgate Rd",024,00747,Principal,"CLAYTON STREET WEST",232,"Westgate (City Centre)",A186-0505,A186-0510,424390,563827,424484,564034,54.96839168824,-1.6189804206416,54.970247401508,-1.6174943154866
017/02583/105,"A189 Ponteland Road - from Hunters Road to Fenham Hall Drive",011,02583,Principal,"PONTELAND ROAD",478,Wingrove,A189-0705,A189-0805,423392,565273,423065,565621,54.981434837189,-1.6344527556852,54.98457758427,-1.6395346577301
013/01454/005,"A189 Grandstand Road - from Fenham Hall Drive to Bullnose North West Radial",022,01454,Principal,"GRANDSTAND ROAD",457,Wingrove,A189-0805,A189-0810,423065,565621,423201,566032,54.98457758427,-1.6395346577301,54.988264949279,-1.6373759698173
013/01454/010,"A189 Grandstand Road - Northbound - at North West Radial Overbridge Bullnose to Bullnose",022,01454,Principal,"GRANDSTAND ROAD",96,Kenton,A189-0815,A189-0820,423198,566035,423244,566119,54.988292050198,-1.6374226147652,54.989044818009,-1.6366968471338
013/01454/015,"A189 Grandstand Road - Southbound - at North West Radial Overbridge Bullnose to Bullnose",022,01454,Principal,"GRANDSTAND ROAD",97,Wingrove,A189-0825,A189-0830,423252,566115,423206,566029,54.989008496334,-1.6365721349318,54.988237755152,-1.6372980663064
013/01454/020,"A189 Grandstand Road - from Bullnose North-West Radial Overbridge to Great North Road R/bt",022,01454,Principal,"GRANDSTAND ROAD",1697,Wingrove,A189-0905,A189-0910,423249,566118,424635,566824,54.989035597559,-1.6366187801968,54.995313806321,-1.6148954200768
012/01829/005,"A189 Jesmond Dene Road - from Great North Road R/bt to Matthew Bank",015,01829,Principal,"JESMOND DENE ROAD",761,"East Gosforth",A189-1005,A189-1105,424654,566830,425276,567211,54.995366787999,-1.6145978948709,54.998759650654,-1.6048411265994
020/02163/005,"A189 Matthew Bank - from Jesmond Dene Road to Dene Avenue",007,02163,Principal,"MATTHEW BANK",359,"East Gosforth",A189-1105,A189-1205,425276,567211,425331,567565,54.998759650654,-1.6048411265994,55.001938254482,-1.6039499558785
020/01526/005,"A189 Haddricks Mill Road - from Dene Avenue to A191 R/bt",007,01526,Principal,"HADDRICKSMILL ROAD",580,"East Gosforth",A189-1205,A189-1210,425331,567565,425517,568097,55.001938254482,-1.6039499558785,55.006709835578,-1.6009944738795
005/01890/005,"A189 Killingworth Road - from A191 R/bt to boundary (Railway Overbridge)",005,01890,Principal,"KILLINGWORTH ROAD",387,Dene,A189-1305,A189-1310,425562,568119,425670,568436,55.006905240103,-1.6002888686175,55.009748555842,-1.5985716754236
022/01685/105,"A191 High Street - from A191 Salters Road to A191 Church Road",022,01685,Principal,"HIGH STREET",37,"West Gosforth",A191-0605,A191-0705,424417,568164,424422,568129,55.007367148492,-1.6181888553324,55.007052357847,-1.6181136601223
010/00717/005,"A191 Church Road - from High Street to Church Avenue",007,00717,Principal,"CHURCH ROAD",330,"East Gosforth",A191-0705,A191-0805,424422,568129,424742,568153,55.007052357847,-1.6181136601223,55.007252239973,-1.6131078766508
020/00712/005,"A191 Church Avenue - from Church Road to centre Metro Overbridge",007,00712,Principal,"CHURCH AVENUE",510,"East Gosforth",A191-0805,A191-0905,424742,568153,425170,568040,55.007252239973,-1.6131078766508,55.006215247044,-1.6064253331009
024/03794/005,"A167 Stamfordham Road - Westbound - from A167 Cowgate R/bt to Two Ball Lonnen R/bt",026,03794,Principal,"STAMFORDHAM ROAD",71,Blakelaw,A167-0505,A167-0510,422045,566179,421976,566170,54.989638561324,-1.6554321807785,54.989560727346,-1.6565113338571
024/03794/010,"A167 Stamfordham Road - Eastbound - from Two Ball Lonnen R/bt to A167 Cowgate R/bt",026,03794,Principal,"STAMFORDHAM ROAD",69,Blakelaw,A167-0515,A167-0520,421972,566182,422030,566216,54.989668748721,-1.6565729324999,54.989971746771,-1.6556637824547
018/02189/005,"A186 Melbourne Street - from City Road to Pandon Bank",016,02189,Principal,"MELBOURNE STREET",144,Ouseburn,A186-0805,A186-0905,425287,564181,425423,564233,54.97152839942,-1.6049366643517,54.971988806069,-1.6028073569927
018/02510/005,"A186 Pandon Bank - from Melbourne Street to City Road",016,02510,Principal,"PANDON BANK",98,Ouseburn,A186-0905,A186-0715,425423,564233,425392,564140,54.971988806069,-1.6028073569927,54.97115459139,-1.603299905863
018/01402/005,"A186 Glasshouse Bridge - from Ouse Street to Ford Street",003,01402,Principal,"GLASSHOUSE BRIDGE",168,Ouseburn,A186-1005,A186-1105,426338,564197,426509,564196,54.971617752118,-1.5885156952258,54.971599697923,-1.5858442950049
021/03013/005,"A186 Station Road - from Church Street to White Street",020,03013,Principal,"STATION ROAD",548,Walker,A186-1205,A186-1305,429324,563850,429516,564348,54.968332507345,-1.5419018366988,54.972796685367,-1.5388512569515
022/03264/005,"A186 Waverdale Avenue - from Welbeck Road R/bt to Fossway",021,03264,Principal,"WAVERDALE AVENUE",767,Walkergate,A186-1405,A186-1410,429505,564846,429399,565597,54.977272845407,-1.5389718436626,54.984028317507,-1.5405510169438
018/00557/005,"A193 Byker Bridge - Westbound - from Shields Rd R/bt to Bullnose",016,00557,Principal,"BYKER BRIDGE",132,Byker,A193-0305,A193-0310,426508,564626,426386,564673,54.975464171201,-1.5858201506539,54.975893036901,-1.5877219831225
018/00557/010,"A193 Byker Bridge - Eastbound  - from Bullnose to Shields Rd R/bt",016,00557,Principal,"BYKER BRIDGE",142,"South Heaton",A193-0315,A193-0320,426387,564680,426522,564647,54.975955893097,-1.5877057141838,54.975652153607,-1.5855994676837
018/00557/015,"A193 Byker Bridge - Bullnose to Crawhall Rd",016,00557,Principal,"BYKER BRIDGE",493,Ouseburn,A193-0325,A193-0405,426387,564676,425916,564540,54.975919945009,-1.5877060824767,54.974722430115,-1.5950774960242
005/00304/005,"A188 Benton Road - from Boundary to Bullnose",005,00304,Principal,"BENTON ROAD",225,Dene,A188-0005,A188-0010,427083,568155,427133,567936,55.007148324337,-1.5765023976106,55.005177455863,-1.5757413430846
018/04389/055,"A167 Central Motorway - Southbound - A193 Link South (from 018/02330/010 to 018/04389/040)",024,04389,Principal,"CENTRAL MOTORWAY EAST (A167M)",40,Ouseburn,A167-0155,A167-0160,425329,564503,425291,564488,54.974420094817,-1.604252054612,54.974287219385,-1.6048470859477
018/04389/005,"A167 Central Motorway - Northbound - Tyne Bridge to centre Great North Road overbridge",024,04389,Principal,"CENTRAL MOTORWAY EAST (A167M)",1710,"South Jesmond",A167-0125,A167-0305,425179,564005,424890,565437,54.969952147125,-1.6066393813748,54.982836116022,-1.6110298143772
018/04389/010,"A167 Central Motorway - Southbound - centre Great North Road overbridge to Tyne Bridge",024,04389,Principal,"CENTRAL MOTORWAY EAST (A167M)",1713,Ouseburn,A167-0320,A167-0130,424889,565444,425189,564010,54.98289907525,-1.61104483336,54.969996577043,-1.6064827205048
016/04424/005,"A167 North West Radial - Northbound - from centre Great North Road overbridge to Cowgate R/bt",025,04424,Principal,"JEDBURGH ROAD (NORTH WEST RADIAL ROUTE)",2994,Wingrove,A167-0305,A167-0310,424890,565437,422076,566174,54.982836116022,-1.6110298143772,54.989592252709,-1.654948039759
