UKPMSSection,SectionDescription,XSP,Offset,RoadType,Start,End,Overall-CI,RCI-BIN,RCI-X-BIN,SectionDescriptionRoad,SectionDescriptionArea,RCI-BIN-Code,RCI-X-BIN-Code
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,0.00,4.06,43.83,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,0.00,0.24,60.00,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,0.24,10.33,60.00,"AMBER: Plan investigation soon","AMBER: Plan investigation soon","HIGH STREET                 ",NEWBURN,AMBER,AMBER
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,4.06,14.13,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,10.33,20.43,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,14.13,24.19,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,20.43,30.53,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,24.19,34.26,5.38,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CR1,-10,,30.53,40.63,0.00,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
017/01684/005,"HIGH STREET                     NEWBURN",CL1,10,,34.26,44.32,4.93,"GREEN: Generally good condition","GREEN: Generally good condition","HIGH STREET                 ",NEWBURN,GREEN,GREEN
